scenario,initial_state,initial_label,source_relation,plume_relation,wind_relation,expected_gas_cue,base_x,base_y,base_yaw,initial_ee_x,initial_ee_y,initial_ee_z,param_set,success,stop_reason,time_s,path_length_m,initial_distance_m,min_distance_m,min_distance_confidence,min_distance_time_s,final_distance_m,final_raw,final_margin,final_confidence,max_margin_seen,gas_msg_count,cast_steps,surge_steps,spiral_steps,theta_low,theta_mid,theta_high
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_baseline,0,timeout,180.200,13.5702,0.5523,0.0350,0.007099,114.800,0.1880,0.000000,0.000000,0.000000,9.977073,1802,140,23,0,1.496561,3.990829,6.983951
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_baseline,0,timeout,180.200,17.7326,0.5523,0.0837,0.000000,60.800,0.2356,0.000000,0.000000,0.000000,0.000000,1802,162,0,0,0.500000,2.000000,5.000000
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_baseline,0,timeout,180.200,17.4095,0.5523,0.1105,0.000000,42.200,0.2028,0.000000,0.000000,0.000000,0.000000,1802,162,0,0,0.500000,2.000000,5.000000
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_baseline,0,timeout,180.000,13.0285,0.8337,0.5235,0.007536,98.400,1.1622,0.294147,0.065135,0.066000,8.369319,1800,107,55,0,1.255398,3.347728,5.858523
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_baseline,0,timeout,180.000,13.9258,0.8337,0.5407,0.001666,41.600,1.0986,0.173931,-0.012739,0.000000,23.490995,1800,142,20,0,3.523649,9.396398,16.443697
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_baseline,1,distance_confidence_confirmed,152.600,6.5781,0.8337,0.2496,0.935086,152.600,0.2496,93.018738,90.272273,0.935086,97.391001,1526,60,74,2,14.608650,38.956401,68.173701
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_threshold_low,1,distance_confidence_confirmed,112.400,6.3606,0.8337,0.2210,0.437463,111.200,0.2434,12.470460,11.653415,0.619640,23.944249,1124,64,36,0,0.250000,1.000000,2.500000
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_threshold_low,1,distance_confidence_confirmed,60.000,3.6206,0.8337,0.1844,0.485914,59.000,0.2004,9.707339,9.298879,0.607439,57.193777,600,33,20,0,0.250000,1.000000,2.500000
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_threshold_low,1,stop_mode_confirmed,146.200,9.5322,0.8337,0.3565,0.909053,144.000,0.4347,17.312023,11.102819,0.842522,38.107100,1462,35,43,52,0.250000,1.000000,2.500000
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_loss_tolerant,0,timeout,180.000,6.6757,0.8337,0.6560,0.000000,151.800,0.7041,3.285416,2.586196,0.000000,27.151816,1800,60,102,0,4.072772,10.860727,19.006271
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_loss_tolerant,1,distance_confidence_confirmed,47.000,3.2254,0.8337,0.1736,0.628160,47.000,0.1736,86.481316,86.175796,0.628160,86.175796,470,17,25,0,12.926369,34.470318,60.323057
exp2_time_varying,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.45,4.25,0.65,sensitivity_loss_tolerant,1,distance_confidence_confirmed,79.000,3.6342,0.8337,0.1521,0.455055,78.200,0.1594,109.243347,108.702981,0.621237,110.478609,790,29,42,0,16.571791,44.191444,77.335027
