scenario,initial_state,initial_label,source_relation,plume_relation,wind_relation,expected_gas_cue,base_x,base_y,base_yaw,initial_ee_x,initial_ee_y,initial_ee_z,param_set,success,stop_reason,time_s,path_length_m,initial_distance_m,min_distance_m,min_distance_confidence,min_distance_time_s,final_distance_m,final_raw,final_margin,final_confidence,max_margin_seen,gas_msg_count,cast_steps,surge_steps,spiral_steps,theta_low,theta_mid,theta_high
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_baseline,1,distance_confidence_confirmed,71.000,4.3074,0.5523,0.1592,0.609655,71.000,0.1592,9.046822,9.046822,0.609655,15.194637,710,44,19,0,2.279196,6.077855,10.636246
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_conf_low,0,timeout,180.000,7.6698,0.5523,0.2726,0.061912,172.000,0.2796,14.128871,7.627927,0.170720,18.242611,1800,79,81,0,2.736392,7.297044,12.769828
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_conf_high,0,timeout,180.000,8.6116,0.5523,0.2993,0.000044,5.600,0.3889,8.014268,8.014268,0.080053,17.006250,1800,92,68,0,2.550937,6.802500,11.904375
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_threshold_low,0,timeout,180.200,15.7305,0.5523,0.1495,0.000000,67.400,0.3070,0.000000,0.000000,0.000000,12.160137,1802,145,16,0,0.250000,1.000000,2.500000
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_loss_tolerant,0,timeout,180.200,11.0487,0.5523,0.2626,0.195920,37.000,0.6729,0.000000,0.000000,0.000000,20.888048,1802,97,36,28,3.133207,8.355219,14.621634
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,sensitivity_spiral_easy,0,timeout,180.200,6.7854,0.5523,0.2731,0.824279,176.600,0.3206,4.813675,2.588727,0.021786,19.851874,1802,51,49,60,2.977781,7.940750,13.896312
exp3_advection,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,downwind_crosswind,none_or_very_weak,0.8,4.65,0.0,1.35,4.2,0.65,sensitivity_baseline,0,timeout,180.000,19.6404,0.8292,0.7122,0.000000,83.800,0.7711,0.000000,0.000000,0.000000,0.000000,1800,161,0,0,0.500000,2.000000,5.000000
exp3_advection,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,downwind_crosswind,none_or_very_weak,0.8,4.65,0.0,1.35,4.2,0.65,sensitivity_conf_low,0,timeout,180.000,19.6251,0.8292,0.7187,0.000000,73.800,0.8500,0.000000,0.000000,0.000000,0.000000,1800,162,0,0,0.500000,2.000000,5.000000
exp3_advection,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,downwind_crosswind,none_or_very_weak,0.8,4.65,0.0,1.35,4.2,0.65,sensitivity_conf_high,0,timeout,180.000,20.4890,0.8292,0.7223,0.000000,92.200,0.8947,0.000000,0.000000,0.000000,0.000000,1800,163,0,0,0.500000,2.000000,5.000000
exp3_advection,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,downwind_crosswind,none_or_very_weak,0.8,4.65,0.0,1.35,4.2,0.65,sensitivity_threshold_low,0,timeout,180.000,20.1689,0.8292,0.7134,0.000000,82.800,0.8459,0.000000,0.000000,0.000000,0.000000,1800,161,0,0,0.250000,1.000000,2.500000
