scenario,initial_state,initial_label,source_relation,plume_relation,wind_relation,expected_gas_cue,base_x,base_y,base_yaw,initial_ee_x,initial_ee_y,initial_ee_z,param_set,success,stop_reason,time_s,path_length_m,initial_distance_m,min_distance_m,min_distance_confidence,min_distance_time_s,final_distance_m,final_raw,final_margin,final_confidence,max_margin_seen,gas_msg_count,cast_steps,surge_steps,spiral_steps,theta_low,theta_mid,theta_high
exp3_advection,far_inside_plume,远离气源，但已经在羽流内部,far,inside,downwind,clear_plume_contact,0.8,4.65,0.0,1.55,4.95,0.65,supervisor_initial_state_matrix,0,timeout,180.000,14.0751,0.5523,0.0867,0.000178,34.800,0.2922,0.000000,0.000000,0.000000,7.825057,1800,128,33,0,1.173759,3.130023,5.477540
exp3_advection,far_near_edge,远离气源，但接近羽流边缘,far,edge,downwind,weak_or_intermittent,0.8,4.65,0.0,1.55,4.55,0.65,supervisor_initial_state_matrix,1,distance_confidence_confirmed,156.000,7.7875,0.6819,0.2363,0.602644,156.000,0.2363,9.620108,9.620108,0.602644,19.466585,1560,65,38,36,2.919988,7.786634,13.626610
exp3_advection,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,downwind_crosswind,none_or_very_weak,0.8,4.65,0.0,1.35,4.2,0.65,supervisor_initial_state_matrix,0,timeout,180.200,19.7195,0.8292,0.7148,0.000000,83.400,0.8486,0.000000,0.000000,0.000000,0.000000,1802,162,0,0,0.500000,2.000000,5.000000
exp3_advection,near_source_outside_plume,靠近气源，但完全在羽流外,near,outside_lateral,crosswind,none_or_very_weak,0.8,4.65,0.0,1.0,4.35,0.65,supervisor_initial_state_matrix,0,timeout,180.000,15.0071,0.6021,0.5344,0.000000,105.400,0.6184,0.000000,0.000000,0.000000,0.000000,1800,162,0,0,0.500000,2.000000,5.000000
exp3_advection,near_source_upwind,靠近气源，且位于气源上游一侧,near,outside_upwind,upwind,none_or_very_weak,0.8,4.65,0.0,0.75,4.95,0.65,supervisor_initial_state_matrix,0,timeout,180.200,15.9287,0.2550,0.1701,0.000000,165.000,0.2606,0.000000,0.000000,0.000000,0.000000,1802,162,0,0,0.500000,2.000000,5.000000
exp1_diffusion,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,weak_wind_reference_crosswind,none_or_very_weak,0.8,4.65,0.0,1.25,4.1,0.65,supervisor_initial_state_matrix,1,stop_mode_confirmed,27.000,1.7863,0.8874,0.6433,0.918720,26.600,0.6433,44.574265,43.672591,0.925410,43.672591,270,7,5,12,6.550889,17.469036,30.570814
exp1_diffusion,far_near_edge,远离气源，但接近羽流边缘,far,edge,weak_wind_reference_downwind,weak_or_intermittent,0.8,4.65,0.0,1.35,4.35,0.65,supervisor_initial_state_matrix,1,stop_mode_confirmed,26.800,1.7395,0.6964,0.3750,0.901034,26.000,0.3750,138.182251,130.300691,0.918295,137.062696,268,7,5,12,20.559404,54.825078,95.943887
exp1_diffusion,far_inside_plume,远离气源，但已经在羽流内部,far,inside,weak_wind_reference_downwind,clear_plume_contact,0.8,4.65,0.0,1.35,4.95,0.65,supervisor_initial_state_matrix,1,distance_confidence_confirmed,29.800,1.5079,0.3536,0.2423,0.957871,29.800,0.2423,339.636169,172.472244,0.957871,172.472244,298,15,9,2,25.870837,68.988898,120.730571
exp1_diffusion,far_off_plume,远离气源，且离羽流边缘也有一段距离,far,outside_far_from_edge,weak_wind_reference_crosswind,none_or_very_weak,0.8,4.65,0.0,1.25,4.1,0.65,supervisor_initial_state_matrix,1,stop_mode_confirmed,25.000,2.2955,0.8874,0.7026,0.954067,21.800,0.7921,21.780296,21.588137,0.925812,28.642729,250,10,7,5,4.296409,11.457092,20.049910
exp1_diffusion,far_inside_plume,远离气源，但已经在羽流内部,far,inside,weak_wind_reference_downwind,clear_plume_contact,0.8,4.65,0.0,1.35,4.95,0.65,supervisor_initial_state_matrix,0,timeout,180.200,10.5174,0.3536,0.3320,0.773519,5.200,0.5617,82.271461,11.512115,0.100842,73.340073,1802,80,54,29,11.001011,29.336029,51.338051
